"","region","year","est.pred","se.pred","ci.pred.lower","ci.pred.upper","est.real","se.real","ci.real.lower","ci.real.upper","surveyed"
"170","W GULF",2015,2748.4976919032,162.837386134008,2485.50912318092,3018.79794129848,2756.42824794214,162.655590224096,2498.22036585971,3032.66480012866,1
"171","W GULF",2016,2768.05440668154,161.436344998826,2512.7901984733,3038.27305427055,2795.57112109798,6.06815098964873,2786.6562856373,2805.78889821863,1
"172","W GULF",2017,2784.41836915743,162.359103877939,2533.79972016052,3066.61686606398,2795.47746172734,97.8973529545242,2641.15579219627,2961.72074962152,1
"173","W GULF",2018,2806.68362576119,163.436769097712,2529.97774819501,3061.50307881622,2689.06620505036,132.331665270985,2465.30138839403,2896.14797570005,1
"174","W GULF",2019,2829.53000526763,167.617948214075,2548.50952104865,3099.37604557336,3056.87531780905,4.25969720296691,3054,3062.79860545459,1
"175","W GULF",2020,2864.80087389491,175.781243679103,2580.9683987831,3153.15391179697,2864.80087389491,175.781243679103,2580.9683987831,3153.15391179697,0
"176","W GULF",2021,2898.36917571266,194.921700399645,2582.93940321188,3221.06691973719,2793.01512673151,21.5948716659664,2761.44312891962,2828.48174149279,1
"177","E GULF",1978,11116.2523476195,874195.176588624,615.655283634744,93678.8431999188,11117.8826631097,874194.245404541,632.455354937545,93680.0144701092,1
"178","E GULF",1979,7849.54469179459,347227.590156965,603.8749891004,53991.582652492,7849.54469179459,347227.590156965,603.8749891004,53991.582652492,0
"179","E GULF",1980,5697.75687369832,142225.411071362,628.396546924724,32201.2207170196,5697.75687369832,142225.411071362,628.396546924724,32201.2207170196,0
"180","E GULF",1981,4241.96637086415,60387.7025944941,626.993880928208,19510.0837314216,4241.96637086415,60387.7025944941,626.993880928208,19510.0837314216,0
"181","E GULF",1982,3283.46181248127,26744.1489488939,638.940639465743,12579.8067009463,3283.46181248127,26744.1489488939,638.940639465743,12579.8067009463,0
"182","E GULF",1983,2663.90695295341,12372.5432830994,786.924111415775,8625.61019467679,2663.90695295341,12372.5432830994,786.924111415775,8625.61019467679,0
